1737808565.968838, 199.98.50.213, validate_cpf, 0.01
1737812165.9698384, 121.51.176.72, validate_cpf, 0.01
1737815765.9708385, 84.212.194.153, validate_cpf, 0.01
1737819365.9708385, 199.98.50.213, mul, 0.08
1737822965.9718387, 121.51.176.72, sub, 0.01
1737826565.9728389, 84.212.194.153, mul, 0.01
1737830165.9728389, 199.98.50.213, sub, 0.01
1737833765.973839, 121.51.176.72, mul, 0.01
1737837365.97484, 84.212.194.153, sub, 0.01
1737840965.9758394, 199.98.50.213, mul, 0.01
1737844565.9758394, 121.51.176.72, sub, 0.01
1737848165.9768395, 84.212.194.153, mul, 0.05
1737851765.9768395, 199.98.50.213, sub, 0.01
1737855365.9778404, 121.51.176.72, mul, 0.01
1737858965.9788406, 84.212.194.153, sub, 0.01
1737862565.9788406, 199.98.50.213, mul, 0.01
1737866165.979841, 121.51.176.72, sub, 0.01
1737869765.980841, 84.212.194.153, mul, 0.01
1737873365.980841, 199.98.50.213, sub, 0.01
1737876965.9818408, 121.51.176.72, mul, 0.01
1737880565.9828408, 84.212.194.153, sub, 0.01
1737884165.9828408, 199.98.50.213, mul, 0.01
1737887765.9838412, 121.51.176.72, sub, 0.01
1737891365.984841, 84.212.194.153, mul, 0.01
1737894965.984841, 199.98.50.213, sub, 0.01
1737898565.9858415, 121.51.176.72, mul, 0.01
1737902165.9868414, 84.212.194.153, sub, 0.01
1737905765.9868414, 199.98.50.213, mul, 0.2
1737909365.9878428, 121.51.176.72, sub, 0.01
1737912965.9888427, 84.212.194.153, mul, 0.011737810714.6357372, 127.0.0.1, validate_cpf, 0.01
1737810714.6527429, 127.0.0.1, validate_cpf, 0.01
1737810714.6697466, 127.0.0.1, validate_cpf, 0.01
1737810714.6867504, 127.0.0.1, validate_cpf, 0.01
1737810714.7037544, 127.0.0.1, mul, 0.01
1737810714.7217577, 127.0.0.1, sub, 0.01
1737810714.738762, 127.0.0.1, mul, 0.01
1737810714.7557662, 127.0.0.1, sub, 0.01
1737810714.7737696, 127.0.0.1, mul, 0.01
1737810714.7917743, 127.0.0.1, sub, 0.01
1737810714.808778, 127.0.0.1, mul, 0.01
1737810714.826782, 127.0.0.1, sub, 0.01
1737810714.8447857, 127.0.0.1, mul, 0.01
1737810714.8617897, 127.0.0.1, sub, 0.01
1737810714.8787935, 127.0.0.1, mul, 0.01
1737810714.8957973, 127.0.0.1, sub, 0.01
1737810714.9138012, 127.0.0.1, mul, 0.01
1737810714.9308057, 127.0.0.1, sub, 0.01
1737810714.9478097, 127.0.0.1, mul, 0.01
1737810714.9648132, 127.0.0.1, sub, 0.01
1737810714.9828212, 127.0.0.1, mul, 0.01
1737810714.9998207, 127.0.0.1, sub, 0.01
1737810715.0168247, 127.0.0.1, mul, 0.01
1737810715.0338275, 127.0.0.1, sub, 0.01
1737810715.051833, 127.0.0.1, mul, 0.01
1737810715.0688367, 127.0.0.1, sub, 0.01
1737810715.0858405, 127.0.0.1, mul, 0.01
1737810715.102844, 127.0.0.1, sub, 0.01
1737810715.1208482, 127.0.0.1, mul, 0.01
1737810715.137852, 127.0.0.1, sub, 0.01
1737810715.154856, 127.0.0.1, mul, 0.01
1737810715.171859, 127.0.0.1, sub, 0.01
1737810715.1898634, 127.0.0.1, mul, 0.01
1737810715.206868, 127.0.0.1, sub, 0.01
1737810715.2238715, 127.0.0.1, mul, 0.01
1737810715.2418752, 127.0.0.1, sub, 0.01
1737810715.2588782, 127.0.0.1, mul, 0.01
1737810715.2768831, 127.0.0.1, sub, 0.01
1737810715.2948875, 127.0.0.1, mul, 0.01
1737810715.3118908, 127.0.0.1, sub, 0.01
1737810715.3298955, 127.0.0.1, mul, 0.01
1737810715.3468988, 127.0.0.1, sub, 0.01
1737810715.3629026, 127.0.0.1, mul, 0.01
1737810715.3809066, 127.0.0.1, sub, 0.01
1737810715.3979104, 127.0.0.1, mul, 0.01
1737810715.4159145, 127.0.0.1, sub, 0.01
1737810715.4329178, 127.0.0.1, mul, 0.01
1737810715.4509223, 127.0.0.1, sub, 0.01
1737810715.467926, 127.0.0.1, mul, 0.01
1737810715.48593, 127.0.0.1, sub, 0.01
1737810715.5019338, 127.0.0.1, mul, 0.01
1737810715.5189376, 127.0.0.1, sub, 0.01
1737810715.5359414, 127.0.0.1, mul, 0.01
1737810715.5529451, 127.0.0.1, sub, 0.01
1737810715.5709493, 127.0.0.1, mul, 0.01
1737810715.587953, 127.0.0.1, sub, 0.01
1737810715.605957, 127.0.0.1, mul, 0.01
1737810715.6229615, 127.0.0.1, sub, 0.01
1737810715.6399646, 127.0.0.1, mul, 0.01
1737810715.6569684, 127.0.0.1, sub, 0.01
1737810715.6749728, 127.0.0.1, mul, 0.01
1737810715.6929767, 127.0.0.1, sub, 0.01
